### Possibly profitable unbalances ###
{'profit_coin': 'BTC', 'trair': ['DRGN/BTC', 'DRGN/NEO', 'NEO/BTC'], 'Unbalance factor': 1.0124134691629956, 'Volume': 1.523027e-05, 'Sequence': 'straight', 'Time Stamp': '18-07-09-23-47'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'SUB/ETH', 'SUB/BTC'], 'Unbalance factor': 1.0134951934425018, 'Volume': 0.000294544, 'Sequence': 'straight', 'Time Stamp': '18-07-09-23-50'}
{'profit_coin': 'BTC', 'trair': ['DOCK/BTC', 'DOCK/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0038676413892909, 'Volume': 1.95477e-06, 'Sequence': 'straight', 'Time Stamp': '18-07-09-23-54'}
{'profit_coin': 'BTC', 'trair': ['DRGN/BTC', 'DRGN/KCS', 'KCS/BTC'], 'Unbalance factor': 1.0063852242744065, 'Volume': 4.52e-05, 'Sequence': 'straight', 'Time Stamp': '18-07-09-23-54'}
{'profit_coin': 'BTC', 'trair': ['DRGN/BTC', 'DRGN/NEO', 'NEO/BTC'], 'Unbalance factor': 1.0113483680738786, 'Volume': 1.526404e-05, 'Sequence': 'straight', 'Time Stamp': '18-07-09-23-54'}
{'profit_coin': 'ETH', 'trair': ['NEO/ETH', 'TKY/NEO', 'TKY/ETH'], 'Unbalance factor': 1.0037956763285025, 'Volume': 0.5488679, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-23-59'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'GO/ETH', 'GO/BTC'], 'Unbalance factor': 1.0039365131520201, 'Volume': 0.000240306048, 'Sequence': 'straight', 'Time Stamp': '18-07-10-00-25'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TFL/ETH', 'TFL/BTC'], 'Unbalance factor': 1.0061847492557063, 'Volume': 7.123411e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-00-27'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'WPR/ETH', 'WPR/BTC'], 'Unbalance factor': 1.023525932237254, 'Volume': 1.035e-06, 'Sequence': 'straight', 'Time Stamp': '18-07-10-00-27'}
{'profit_coin': 'BTC', 'trair': ['BNTY/BTC', 'BNTY/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0045459517412938, 'Volume': 4.01e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-10-00-29'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TFL/ETH', 'TFL/BTC'], 'Unbalance factor': 1.0079209411764705, 'Volume': 7.129408e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-00-34'}
{'profit_coin': 'BTC', 'trair': ['BNTY/BTC', 'BNTY/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0038767482587065, 'Volume': 4.01e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-10-00-36'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'RPX/ETH', 'RPX/BTC'], 'Unbalance factor': 1.0045482598290598, 'Volume': 7.1318049999999996e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-00-55'}
{'profit_coin': 'BTC', 'trair': ['BNTY/BTC', 'BNTY/ETH', 'ETH/BTC'], 'Unbalance factor': 1.003506877114428, 'Volume': 4.01e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-10-00-58'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'FOTA/ETH', 'FOTA/BTC'], 'Unbalance factor': 1.0038212740438768, 'Volume': 7.1301880000000005e-06, 'Sequence': 'straight', 'Time Stamp': '18-07-10-01-00'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'MOD/ETH', 'MOD/BTC'], 'Unbalance factor': 1.0038815545416835, 'Volume': 0.00021897114448, 'Sequence': 'straight', 'Time Stamp': '18-07-10-01-01'}
{'profit_coin': 'BTC', 'trair': ['BNTY/BTC', 'BNTY/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0038811129353236, 'Volume': 4.01e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-10-01-05'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'PRL/USDT', 'PRL/ETH'], 'Unbalance factor': 1.0050102546907778, 'Volume': 0.03244913152, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-01-18'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'PRL/USDT', 'PRL/BTC'], 'Unbalance factor': 1.0060672983056438, 'Volume': 0.007115649456000001, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-01-20'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'TKY/USDT', 'TKY/BTC'], 'Unbalance factor': 1.0033142043767673, 'Volume': 0.04546553, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-01-20'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'TKY/USDT', 'TKY/ETH'], 'Unbalance factor': 1.0037028760574451, 'Volume': 0.46307114464000004, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-01-25'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'TKY/USDT', 'TKY/ETH'], 'Unbalance factor': 1.0039809776260307, 'Volume': 0.45708074464000004, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-01-32'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TFL/ETH', 'TFL/BTC'], 'Unbalance factor': 1.0071969420691125, 'Volume': 0.0007940979199999999, 'Sequence': 'straight', 'Time Stamp': '18-07-10-01-38'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'UKG/ETH', 'UKG/BTC'], 'Unbalance factor': 1.0059664645068391, 'Volume': 0.0019381824866399999, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-01-38'}
{'profit_coin': 'BTC', 'trair': ['KCS/BTC', 'NEO/KCS', 'NEO/BTC'], 'Unbalance factor': 1.004000300861707, 'Volume': 6.033028639999999e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-01-39'}
{'profit_coin': 'ETH', 'trair': ['KCS/ETH', 'NEO/KCS', 'NEO/ETH'], 'Unbalance factor': 1.0037155881776851, 'Volume': 8.50342624e-05, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-01-39'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'SHL/ETH', 'SHL/BTC'], 'Unbalance factor': 1.0059288168674698, 'Volume': 1.06904e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-01-44'}
{'profit_coin': 'BTC', 'trair': ['KCS/BTC', 'NEO/KCS', 'NEO/BTC'], 'Unbalance factor': 1.0033804477514332, 'Volume': 6.03001596e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-01-46'}
{'profit_coin': 'BTC', 'trair': ['DOCK/BTC', 'DOCK/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0040524184930986, 'Volume': 1.127104e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-01-49'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'IOST/ETH', 'IOST/BTC'], 'Unbalance factor': 1.0033783817142856, 'Volume': 0.000453967018047, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-01-50'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'SHL/ETH', 'SHL/BTC'], 'Unbalance factor': 1.0064875397590363, 'Volume': 1.06904e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-01-51'}
{'profit_coin': 'BTC', 'trair': ['DOCK/BTC', 'DOCK/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0057953769149057, 'Volume': 1.128705e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-01-55'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'GO/ETH', 'GO/BTC'], 'Unbalance factor': 1.0043383774509806, 'Volume': 0.0120105017, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-01-56'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'MOBI/ETH', 'MOBI/BTC'], 'Unbalance factor': 1.005703420195147, 'Volume': 0.001286539288, 'Sequence': 'straight', 'Time Stamp': '18-07-10-01-57'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'ONT/ETH', 'ONT/BTC'], 'Unbalance factor': 1.0059168932038838, 'Volume': 0.0002523912, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-01-57'}
{'profit_coin': 'BTC', 'trair': ['DGB/BTC', 'DGB/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0037100756567425, 'Volume': 0.002390174472, 'Sequence': 'straight', 'Time Stamp': '18-07-10-02-02'}
