### Possibly profitable unbalances ###
{'profit_coin': 'ETH', 'trair': ['NEO/ETH', 'TNC/NEO', 'TNC/ETH'], 'Unbalance factor': 1.0040559069276094, 'Volume': 5.87e-09, 'Sequence': 'straight', 'Time Stamp': '18-07-15-21-40'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'GVT/ETH', 'GVT/BTC'], 'Unbalance factor': 1.006260174335641, 'Volume': 7.069999999999999e-08, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-21-44'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'GVT/ETH', 'GVT/BTC'], 'Unbalance factor': 1.0063272109045394, 'Volume': 7.070471e-08, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-21-51'}
{'profit_coin': 'BTC', 'trair': ['CHP/BTC', 'CHP/ETH', 'ETH/BTC'], 'Unbalance factor': 1.003467782687927, 'Volume': 1.228152e-06, 'Sequence': 'straight', 'Time Stamp': '18-07-15-21-57'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'GVT/ETH', 'GVT/BTC'], 'Unbalance factor': 1.0062245922927011, 'Volume': 7.069749999999999e-08, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-21-59'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TMT/ETH', 'TMT/BTC'], 'Unbalance factor': 1.0071895629985483, 'Volume': 3.0600000000000003e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-15-22-01'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'GVT/ETH', 'GVT/BTC'], 'Unbalance factor': 1.0062529155988813, 'Volume': 7.069949e-08, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-22-06'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'SPF/ETH', 'SPF/BTC'], 'Unbalance factor': 1.0044627605034553, 'Volume': 5.800000000000001e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-15-22-08'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TMT/ETH', 'TMT/BTC'], 'Unbalance factor': 1.0067637964872467, 'Volume': 3.0600000000000003e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-15-22-09'}
{'profit_coin': 'BTC', 'trair': ['CAPP/BTC', 'CAPP/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0051174808043413, 'Volume': 1.8800000000000002e-07, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-22-12'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'GVT/ETH', 'GVT/BTC'], 'Unbalance factor': 1.0066369170062868, 'Volume': 7.072646999999999e-08, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-22-14'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'SHL/ETH', 'SHL/BTC'], 'Unbalance factor': 1.0091134193122402, 'Volume': 3.9400000000000004e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-15-22-23'}
